"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 14 ending April 04, 2020"	"2020/14"	19883	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 15 ending April 11, 2020"	"2020/15"	24974	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 16 ending April 18, 2020"	"2020/16"	23665	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 17 ending April 25, 2020"	"2020/17"	20441	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 18 ending May 02, 2020"	"2020/18"	17202	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 19 ending May 09, 2020"	"2020/19"	15108	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 20 ending May 16, 2020"	"2020/20"	13486	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 21 ending May 23, 2020"	"2020/21"	11810	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 22 ending May 30, 2020"	"2020/22"	10899	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 23 ending June 06, 2020"	"2020/23"	10196	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 24 ending June 13, 2020"	"2020/24"	9689	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 25 ending June 20, 2020"	"2020/25"	9493	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 26 ending June 27, 2020"	"2020/26"	9581	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 27 ending July 04, 2020"	"2020/27"	9268	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 28 ending July 11, 2020"	"2020/28"	9474	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 29 ending July 18, 2020"	"2020/29"	9162	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 30 ending July 25, 2020"	"2020/30"	9254	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 31 ending August 01, 2020"	"2020/31"	9315	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 32 ending August 08, 2020"	"2020/32"	9140	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 33 ending August 15, 2020"	"2020/33"	9239	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 34 ending August 22, 2020"	"2020/34"	9314	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 35 ending August 29, 2020"	"2020/35"	9154	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 36 ending September 05, 2020"	"2020/36"	9210	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 37 ending September 12, 2020"	"2020/37"	9191	Not Applicable	Not Applicable
